event,points,total_points,rank,rank_sort,overall_rank,bank,value,event_transfers,event_transfers_cost,points_on_bench,id
16,16,669,9753766,9829338,8780276,30,1008,0,0,9,7032772
17,36,705,7467164,7568691,8787699,30,1007,0,0,0,7032772
18,29,734,7229083,7345220,8759506,30,1010,0,0,1,7032772
19,32,766,7323594,7476945,8777867,30,1008,0,0,16,7032772
1,47,47,7213665,7235515,7213665,5,1000,0,0,3,2733209
2,32,79,7724382,7742535,7264242,5,999,0,0,3,2733209
3,25,104,9095738,9102866,7746289,5,996,0,0,1,2733209
4,39,143,9335061,9337725,8514676,5,995,0,0,2,2733209
5,21,164,9793327,9794478,8865769,5,991,0,0,6,2733209
6,46,210,9247979,9256567,9029659,5,988,0,0,6,2733209
7,44,254,5943743,5970081,9004494,5,988,0,0,6,2733209
8,18,272,9991583,9994597,9216894,5,988,0,0,1,2733209
9,54,326,7830803,7852750,9220421,5,987,0,0,7,2733209
10,58,384,7629949,7658862,9238872,5,987,0,0,2,2733209
11,38,422,2311526,2348859,9180420,5,987,0,0,6,2733209
12,35,457,9962171,9966032,9317974,5,988,0,0,4,2733209
13,15,472,10280391,10280786,9461330,5,990,0,0,3,2733209
14,31,503,10084005,10088552,9531244,5,989,0,0,0,2733209
15,36,539,4346306,4408725,9520499,5,989,0,0,0,2733209
16,24,563,8268672,8292691,9558928,5,989,0,0,0,2733209
17,46,609,4706590,4734750,9509678,5,991,0,0,0,2733209
18,16,625,9889719,9904212,9560701,5,994,0,0,0,2733209
19,32,657,7323594,7373252,9565728,5,995,0,0,0,2733209
14,59,59,3600782,3784717,10290860,2,1000,0,0,4,10352127
15,33,92,5810339,6128672,10291637,2,1002,0,0,2,10352127
16,65,157,590880,609945,10260193,0,1005,2,0,1,10352127
17,69,226,416539,438366,10229848,0,1007,1,0,2,10352127
18,41,267,3751695,3812297,10220252,7,1011,1,0,8,10352127
19,32,299,7323594,7579919,10224136,7,1012,0,0,10,10352127
